nohup: ignoring input
目前的混合精度设置: bf16
🚀 Training RAE ControlNet on cuda
Initializing Base Model from Config...
Indexing 3 safetensors files...
Loading latent stats from cache...
📊 检查 Time Dist Shift: 6.9282
Start Training...
Epoch 3 | Step 1280 | Loss: 0.6484
Epoch 3 | Step 1290 | Loss: 0.8471
Epoch 3 | Step 1300 | Loss: 0.5916
Epoch 3 | Step 1310 | Loss: 0.5169
Epoch 3 | Step 1320 | Loss: 0.6095
Epoch 3 | Step 1330 | Loss: 0.7946
Epoch 3 | Step 1340 | Loss: 0.8263
Epoch 3 | Step 1350 | Loss: 0.4937
Epoch 3 | Step 1360 | Loss: 0.7299
Epoch 3 | Step 1370 | Loss: 0.8114
Epoch 3 | Step 1380 | Loss: 0.6672
Epoch 3 | Step 1390 | Loss: 0.5291
Epoch 3 | Step 1400 | Loss: 0.7704
Epoch 3 | Step 1410 | Loss: 0.6358
Epoch 3 | Step 1420 | Loss: 0.5816
Epoch 3 | Step 1430 | Loss: 0.8718
Epoch 3 | Step 1440 | Loss: 0.6208
Epoch 3 | Step 1450 | Loss: 0.6362
Epoch 3 | Step 1460 | Loss: 0.7181
Epoch 3 | Step 1470 | Loss: 0.5943
Epoch 3 | Step 1480 | Loss: 0.8239
Epoch 3 | Step 1490 | Loss: 0.7303
Epoch 3 | Step 1500 | Loss: 0.5287
Epoch 3 | Step 1510 | Loss: 0.5490
Epoch 3 | Step 1520 | Loss: 0.5953
Epoch 3 | Step 1530 | Loss: 0.7097
Epoch 3 | Step 1540 | Loss: 0.6315
Epoch 3 | Step 1550 | Loss: 0.6938
Epoch 3 | Step 1560 | Loss: 0.5903
Epoch 3 | Step 1570 | Loss: 0.5998
Epoch 3 | Step 1580 | Loss: 0.6401
Epoch 3 | Step 1590 | Loss: 0.6433
Epoch 3 | Step 1600 | Loss: 0.5549
Epoch 4 | Step 1610 | Loss: 0.7379
Epoch 4 | Step 1620 | Loss: 0.6664
Epoch 4 | Step 1630 | Loss: 0.6604
Epoch 4 | Step 1640 | Loss: 0.9312
Epoch 4 | Step 1650 | Loss: 0.6456
Epoch 4 | Step 1660 | Loss: 0.8395
Epoch 4 | Step 1670 | Loss: 0.8404
Epoch 4 | Step 1680 | Loss: 0.6072
Epoch 4 | Step 1690 | Loss: 0.5829
Epoch 4 | Step 1700 | Loss: 0.6947
Epoch 4 | Step 1710 | Loss: 0.6520
Epoch 4 | Step 1720 | Loss: 0.7423
Epoch 4 | Step 1730 | Loss: 0.5381
Epoch 4 | Step 1740 | Loss: 0.5671
Epoch 4 | Step 1750 | Loss: 0.6348
Epoch 4 | Step 1760 | Loss: 0.8398
Epoch 4 | Step 1770 | Loss: 0.5759
Epoch 4 | Step 1780 | Loss: 0.5753
Epoch 4 | Step 1790 | Loss: 0.5154
Epoch 4 | Step 1800 | Loss: 0.6334
Epoch 4 | Step 1810 | Loss: 0.5012
Epoch 4 | Step 1820 | Loss: 0.6212
Epoch 4 | Step 1830 | Loss: 0.5915
Epoch 4 | Step 1840 | Loss: 0.6474
Epoch 4 | Step 1850 | Loss: 0.6649
Epoch 4 | Step 1860 | Loss: 0.5639
Epoch 4 | Step 1870 | Loss: 0.7439
Epoch 4 | Step 1880 | Loss: 0.5057
Epoch 4 | Step 1890 | Loss: 0.6291
Epoch 4 | Step 1900 | Loss: 0.5027
Epoch 4 | Step 1910 | Loss: 0.5663
Epoch 4 | Step 1920 | Loss: 0.5787
Epoch 4 | Step 1930 | Loss: 0.6937
Epoch 4 | Step 1940 | Loss: 0.4964
Epoch 4 | Step 1950 | Loss: 0.7378
Epoch 4 | Step 1960 | Loss: 0.5673
Epoch 4 | Step 1970 | Loss: 0.6450
Epoch 4 | Step 1980 | Loss: 0.5148
Epoch 4 | Step 1990 | Loss: 0.5939
Epoch 4 | Step 2000 | Loss: 0.8792
Epoch 5 | Step 2010 | Loss: 0.6575
Epoch 5 | Step 2020 | Loss: 0.6164
Epoch 5 | Step 2030 | Loss: 0.7868
Epoch 5 | Step 2040 | Loss: 0.6059
Epoch 5 | Step 2050 | Loss: 0.8214
Epoch 5 | Step 2060 | Loss: 0.8641
Epoch 5 | Step 2070 | Loss: 0.8564
Epoch 5 | Step 2080 | Loss: 0.8275
Epoch 5 | Step 2090 | Loss: 0.7446
Epoch 5 | Step 2100 | Loss: 0.5531
Epoch 5 | Step 2110 | Loss: 0.6820
Epoch 5 | Step 2120 | Loss: 0.6309
Epoch 5 | Step 2130 | Loss: 0.5537
Epoch 5 | Step 2140 | Loss: 0.7721
Epoch 5 | Step 2150 | Loss: 0.6034
Epoch 5 | Step 2160 | Loss: 0.5989
Epoch 5 | Step 2170 | Loss: 0.5304
Epoch 5 | Step 2180 | Loss: 0.4768
Epoch 5 | Step 2190 | Loss: 0.5261
Epoch 5 | Step 2200 | Loss: 0.6577
Epoch 5 | Step 2210 | Loss: 0.5695
Epoch 5 | Step 2220 | Loss: 0.5781
Epoch 5 | Step 2230 | Loss: 0.7049
Epoch 5 | Step 2240 | Loss: 0.5789
Epoch 5 | Step 2250 | Loss: 0.5356
Epoch 5 | Step 2260 | Loss: 0.6330
Epoch 5 | Step 2270 | Loss: 0.6312
Epoch 5 | Step 2280 | Loss: 0.7224
Epoch 5 | Step 2290 | Loss: 0.6029
Epoch 5 | Step 2300 | Loss: 0.6564
Epoch 5 | Step 2310 | Loss: 0.7415
Epoch 5 | Step 2320 | Loss: 0.8131
Epoch 5 | Step 2330 | Loss: 0.7257
Epoch 5 | Step 2340 | Loss: 0.8521
Epoch 5 | Step 2350 | Loss: 0.5581
Epoch 5 | Step 2360 | Loss: 0.6270
Epoch 5 | Step 2370 | Loss: 0.6972
Epoch 5 | Step 2380 | Loss: 0.7299
Epoch 5 | Step 2390 | Loss: 0.9418
Epoch 5 | Step 2400 | Loss: 0.6688
Epoch 6 | Step 2410 | Loss: 0.5654
Epoch 6 | Step 2420 | Loss: 0.5672
Epoch 6 | Step 2430 | Loss: 0.7072
Epoch 6 | Step 2440 | Loss: 0.5365
Epoch 6 | Step 2450 | Loss: 0.7799
Epoch 6 | Step 2460 | Loss: 0.6286
Epoch 6 | Step 2470 | Loss: 0.6790
Epoch 6 | Step 2480 | Loss: 0.6300
Epoch 6 | Step 2490 | Loss: 1.0464
Epoch 6 | Step 2500 | Loss: 0.7667
Epoch 6 | Step 2510 | Loss: 0.7218
Epoch 6 | Step 2520 | Loss: 0.7862
Epoch 6 | Step 2530 | Loss: 0.5859
Epoch 6 | Step 2540 | Loss: 0.6088
Epoch 6 | Step 2550 | Loss: 0.6713
Epoch 6 | Step 2560 | Loss: 0.4984
Epoch 6 | Step 2570 | Loss: 0.6566
Epoch 6 | Step 2580 | Loss: 0.7948
Epoch 6 | Step 2590 | Loss: 0.6013
Epoch 6 | Step 2600 | Loss: 0.5869
Epoch 6 | Step 2610 | Loss: 0.6820
Epoch 6 | Step 2620 | Loss: 0.5104
Epoch 6 | Step 2630 | Loss: 0.4076
Epoch 6 | Step 2640 | Loss: 0.5090
Epoch 6 | Step 2650 | Loss: 0.5752
Epoch 6 | Step 2660 | Loss: 0.4750
Epoch 6 | Step 2670 | Loss: 0.6098
Epoch 6 | Step 2680 | Loss: 0.7644
Epoch 6 | Step 2690 | Loss: 0.5762
Epoch 6 | Step 2700 | Loss: 0.7409
Epoch 6 | Step 2710 | Loss: 0.6096
Epoch 6 | Step 2720 | Loss: 0.5091
Epoch 6 | Step 2730 | Loss: 0.8330
Epoch 6 | Step 2740 | Loss: 0.6839
Epoch 6 | Step 2750 | Loss: 0.6440
Epoch 6 | Step 2760 | Loss: 0.7358
Epoch 6 | Step 2770 | Loss: 0.6093
Epoch 6 | Step 2780 | Loss: 0.6538
Epoch 6 | Step 2790 | Loss: 0.5369
Epoch 6 | Step 2800 | Loss: 0.9023
Epoch 7 | Step 2810 | Loss: 0.8650
Epoch 7 | Step 2820 | Loss: 0.7662
